accession,homology_cluster_id,split_group_id,partition,class_label,subgroup,evidence_level,source,source_sequence_id,sequence_sha256
NEG_PF00367_181599ff30c531d17bbc,EIIB_181599ff30c531d1,EIIB_181599ff30c531d1,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A4FBE2_SACEN/7-40,687f148cd70517b7c112b974aa90a2827e248bdb57e7f0844a03c933e9f1e3e3
NEG_PF00367_1839889fe312475ccb15,EIIB_1839889fe312475c,EIIB_1839889fe312475c,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,M1MGC9_9CLOT/10-43,9463f0641f2eaf4fecf4b0f35aa47a5e4d5b76412ae97d53c86a3dd5fe82ed8a
NEG_PF00367_18a0f996fa9f73aa9a82,EIIB_18a0f996fa9f73aa,EIIB_18a0f996fa9f73aa,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,R4K3W6_CLOPA/431-464,96435df55e6546eb018622f8b3ff40aa1e0371e83c02549636ac6a7b36b7c29d
NEG_PF00367_19972b45c468714cd4d4,EIIB_19972b45c468714c,EIIB_19972b45c468714c,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q04GZ8_OENOB/8-41,001e78c95bfa61b7d0dec876d4580bc53e1804963ccfb2bec6acf9b9742ef8d3
NEG_PF00367_19d32239c97436fc8e2a,EIIB_19d32239c97436fc,EIIB_19d32239c97436fc,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,D3FS80_ALKPO/384-417,34ee40bbd41490b9d8463f9c2efc8607c7cff27497d9823502bf93c779b6092e
NEG_PF00367_1a9947fd7a68f2f98da4,EIIB_1a9947fd7a68f2f9,EIIB_1a9947fd7a68f2f9,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,D7B5N6_NOCDD/6-39,da4129a0f9d32850b27276f21059526f54838493d240679f2ad6edbd00a94d78
NEG_PF00367_1aae34e1b6e13545fe4d,EIIB_1aae34e1b6e13545,EIIB_1aae34e1b6e13545,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,D1AWS5_STRM9/465-496,1f9fb73cb987d2f1a25e728e512b3f6fbf8b92db1cb23e3304cfd2296f1259b7
NEG_PF00367_1ae51c018299d1a3d529,EIIB_1ae51c018299d1a3,EIIB_1ae51c018299d1a3,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q6MUH7_MYCMS/506-538,abdc452213dd35829a5a9144874c8ff94aeb0cb9d49ede72ab723cb594c6600c
NEG_PF00367_1afd0d51b313ddea2364,EIIB_1afd0d51b313ddea,EIIB_1afd0d51b313ddea,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,D0L9W0_GORB4/7-40,7a00f5a01922645f4b3853e2b3a8876d47d93a9689e6b126b9430d035282d90c
NEG_PF00367_1b129a08f06d6130a4c4,EIIB_1b129a08f06d6130,EIIB_1b129a08f06d6130,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,L0K8R8_HALHC/425-458,2a19d6708914d67d23de8299b31a90aade2dc3acb7a8b1219a171c8fad943afa
NEG_PF00367_1b30634a717f54f08b29,EIIB_1b30634a717f54f0,EIIB_1b30634a717f54f0,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,D0LVP8_HALO1/412-445,ab996f77138ba7361744cb6ed7a76345e0f6736e1d3b4b4a64cf1ae9ca0180c9
NEG_PF00367_1b3195bceae7260052e0,EIIB_1b3195bceae72600,EIIB_1b3195bceae72600,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,F7V3Z7_CLOSS/8-41,1c8aa27012979fad062887b5dd5b023a4b5d6482237a2bc99c6d887d60fe9de0
NEG_PF00367_1b682fdfda5f3a70ce51,EIIB_1b682fdfda5f3a70,EIIB_1b682fdfda5f3a70,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A5I5I8_CLOBH/417-450,99efeb68e5ee27dc932bf87c22f7466e08c4f98f9ca35b1fb0a20e473354ea9e
NEG_PF00367_1b73f4a33dc13fd6e990,EIIB_1b73f4a33dc13fd6,EIIB_1b73f4a33dc13fd6,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,PTYBC_PASMU/12-43,fcc12ccb040c517e4b10264e768b6839850b1d126201a96a4f639a4f55a98903
NEG_PF00367_1c6f92f0e232ee5259ad,EIIB_1c6f92f0e232ee52,EIIB_1c6f92f0e232ee52,CALIBRATION,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,Q6KIM8_MYCM1/12-45,d46b0536a0b89d71faf74c6759b7ceffd0701849bdf60029672f529504bf4e52
NEG_PF00367_1cf8cca52ec6dffa43cc,EIIB_1cf8cca52ec6dffa,EIIB_1cf8cca52ec6dffa,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,E1SU09_FERBD/400-432,eda1c3266a798792e9f2994aee26b4d7563372bfd94f5d21a5408af11294db96
NEG_PF00367_1cff4c700cc698e61172,EIIB_1cff4c700cc698e6,EIIB_1cff4c700cc698e6,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,D5E602_MYCCM/562-593,7e45c8a40e81bef12c8332b9f49324efe83903f46e389ea5e2362cd84809fe56
NEG_PF00367_1d6228c9bc055cdfa986,EIIB_1d6228c9bc055cdf,EIIB_1d6228c9bc055cdf,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,A1SWB1_PSYIN/12-45,7590728303e9b1fc7b2a703443245fe33bd91d94069004ba34dbaeab48e75cf8
NEG_PF00367_1dc40ff74b1c812e9e2f,EIIB_1dc40ff74b1c812e,EIIB_1dc40ff74b1c812e,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,C0CKC1_BLAHS/9-42,3ab91c4113342242ed3ad77bad4f86998a7f1dfd99fbe4c8639bde3a17365ae9
NEG_PF00367_1dffa3be89a92fa2da64,EIIB_1dffa3be89a92fa2,EIIB_1dffa3be89a92fa2,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,B2KDM3_ELUMP/8-41,824fdf2f809366fe1869fb7dffa3d115ddea928c49b798ee9849b073606c6342
NEG_PF00367_1e1a82c3d8eeaa7cecc2,EIIB_1e1a82c3d8eeaa7c,EIIB_1e1a82c3d8eeaa7c,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,G8PBT2_PEDCP/414-447,5672e8fbf4988a1fa4321e0f76bb28339b4f173555f46aae4b58d65329d9d699
NEG_PF00367_1ee1932bfc9bb30e3600,EIIB_1ee1932bfc9bb30e,EIIB_1ee1932bfc9bb30e,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,K8E7N1_CARML/9-40,bf8aa91e1cdb7aa4a6dfa2d85ff5cb69147dc2ae533bc12061dfc9181a3127c0
NEG_PF00367_1fbe94d7030990fe7a57,EIIB_1fbe94d7030990fe,EIIB_1fbe94d7030990fe,FINAL_HOLDOUT,HARD_NEGATIVE,,LITERATURE_EXCLUDED_FALSE_HOMOLOG_FAMILY,Pfam_38.2_PF00367_seed,I3Y5R4_THIV6/512-545,435386c8341c1c62346007f8c89392fa4b6ed491bab685756f5804f6e60290d0
