sequence_id,midpiwi_region_sha256,split_group_id,curated_pago_clade
WP_005032630.1,76fc8f79cf7eca5a98c62244fb57814c7518330f9f693b27b2c68cd2ebf102cb,MIDPIWI_46fcecc2fa34919b,SHORT
WP_005277191.1,2629ef2444f50c4b0d028e4a09abf009000e86b914b97cf92b33fff5c2eb855c,MIDPIWI_46fcecc2fa34919b,SHORT
WP_005372460.1,06578c4c591a2578fd4738a6e4717701d79462ad0c3d50b6757951f201f1cbda,MIDPIWI_030a536c9416cef7,SHORT
WP_005580376.1,ecf63a6ad3617b6040a470c7b2b1aae8a341e4671790b4e097a5aaea4d486b36,MIDPIWI_9217584098e4d7ce,LONG_A
WP_005783349.1,e23be5890232e030c58b4554887f6fd72e66387c18c6f526933d8549b11c5c16,MIDPIWI_ca3baae7f4db5ad2,SHORT
WP_005801097.1,6ff232a6c7e58d9be7a8b3af256b36acf0c0257929b2729af85da6ab1e2f988b,MIDPIWI_78d33713b1a920b2,SHORT
WP_005864495.1,edd804c9fe446430242b8325aa7360553d1e78c330c059325160fd8839d80740,MIDPIWI_ecb0098d1446c517,SHORT
WP_005988487.1,ea9bdce56639e6d1a0a21e3b48beebd82f9bc963a654379bf7502d7f4f0ecfea,MIDPIWI_9fd61af29e4a0b43,SHORT
WP_006019180.1,de41eaeacf8ebe248773f47a3e01982613bc0013fc98412ac06a4b53b1d1c141,MIDPIWI_3f1e4badf5b64be0,SHORT
WP_006054116.1,9e8565883509c141deba1f65f7ba955b28d8e4c6c4a2b24272896f1dc4ec363a,MIDPIWI_e059c57309a30c5a,LONG_A
WP_006090832.1,fafa94bf489171dcf7bf80d3a624175dc02cbbba31865dec3e8f7193e3f2a37f,MIDPIWI_e059c57309a30c5a,LONG_A
WP_006111085.1,6c908dc4a3282c9384b31332825599a105f69699b172658e569332a58bd72219,MIDPIWI_0fbd9a5cadd1a0f7,LONG_A
WP_006169674.1,42ff49da65c4ec45e7502e0148b04c3dfe257d0f316bfe687e4c0b170dff4172,MIDPIWI_12a0cdebdc7f010d,SHORT
WP_006183335.1,1ae77f1c9eda79e98f4e6ea7b5023a489a55deedb704ff9be87188a2937eebcb,MIDPIWI_91e8363d7e1d0391,LONG_A
WP_006270761.1,1f09aca83d6360f957b422e5c3342e2202284c88ae5e6328ba3cf239d2ef8346,MIDPIWI_103f347d8d350f03,SHORT
WP_006328963.1,c0756155e1145191f94c66a678721219b62849556ef7aacdf5bb87708427bcad,MIDPIWI_e1d6c49ff7e69236,SHORT
WP_006512592.1,29e406e2e34e92109e1840e6b180bdf9882df341cfcef6eb1001fdf1b2d42f9f,MIDPIWI_b15e30ed2a57444e,SHORT
WP_006580534.1,c6ece202f8df3af64934e683e07bb0aa5b71367d8cd565768616999b99356962,MIDPIWI_5190f7c2ab15a406,LONG_B
WP_006630693.1,d6de2c14e11359d3d9f40c9fe014c106fe360035f65963fe2cb00642931c378b,MIDPIWI_e7b11e4ea9e7b342,SHORT
WP_006630972.1,d35da307d68445a03003471ccf1828d862959e515863d150e405eede799cce0a,MIDPIWI_9d5baed890cba795,LONG_A
WP_006746222.1,fe11d6036925a702f992beda98237f48a85ebc9f456f0d1281683c85e911b4bc,MIDPIWI_e3f215f605fdb3f6,SHORT
WP_007011916.1,068128c4749b871cd428989998d03ca15adcf0ab0c777ac0bf461dbf1317c652,MIDPIWI_b719b075bb6a34b6,SHORT
WP_007013852.1,a2d00a6a389e6370d7d8b0bd5fd7e62f6fb37cb2660e87eba2eec41c1cf77fc0,MIDPIWI_6d0b1ed5485111b0,SHORT
WP_007015521.1,c94ddec6e7f558ba7c493a01d31c6d544f24f568b9480d1270b27a4f74f64648,MIDPIWI_0ad414b1213eaf42,SHORT
WP_007044032.1,21bfba80541a2cd14703d16246cd9ac6dcbbce1213c9c515ef2e9157edcb046d,MIDPIWI_76d4e0ea503bb852,LONG_A
WP_007412615.1,1d2e8c7904857ab2da7945c9260191a953248e816ef0154cf92153a54cef7e98,MIDPIWI_6b5028aff42eecf6,SHORT
WP_008137931.1,ab4c8ab00cc86dc2d26149fdb50c513b101c23de1d6794594a160d0c3804435d,MIDPIWI_a3b9d87e2897e5d0,SHORT
WP_008205290.1,ba05b911ded7cd78bd4a1f935452e0709751775d76766f1ad7b8ae1f03b6897e,MIDPIWI_01dd422b1c3ec451,LONG_A
WP_008387991.1,6c17f23b482e04880eeb20282dcb3ac9b823b0e14c25ed7c14ad984be9bf42e0,MIDPIWI_0fa13e543b1bff92,SHORT
WP_008390487.1,2a28b31d2e6b1d3df5442500d9789a24be774c54f3bde15ac3d2ef2b70373f29,MIDPIWI_08a71e1aa32199f7,SHORT
WP_008391586.1,d5ec37b34a0c02259998fa109a7867a7b2fd66aa0c47ff00d9b8c7bc95a71acf,MIDPIWI_4038934d886e4fbb,SHORT
WP_008458795.1,fc51abc9e23fd25bc9487ad47483d0bb7804a09b673541d347dbcf898a8dd961,MIDPIWI_12a0cdebdc7f010d,SHORT
WP_008504757.1,59c280f906c6a75e430031b8c7a511361467a4b39394ebc63460418cd2c35a33,MIDPIWI_814a76c4861dd39b,LONG_A
WP_008580551.1,93d8152c490fc5aadc8730a96b95d48c0bcedb6a017e24e2346047c7c806b4a7,MIDPIWI_122ca674f6bf141c,SHORT
WP_008606028.1,1594e07ef66f0f7ba18726eb68e277a954ac7c74ccdf283b50074ebe99e39908,MIDPIWI_ea51c6ef50c2c4ce,LONG_B
WP_008615787.1,fc7dd428badc0f5bc6715184934ee69045757a5fbf32760063c56c805fecb174,MIDPIWI_2b340e04015c4ec3,SHORT
WP_008631444.1,eefbdf0d924f6e8755451178d645de47b450964e9ccf707f8d25f6b7554fa986,MIDPIWI_8f62696f35d47c47,LONG_A
WP_008657175.1,5ebaa3427e89d1cf88513f00649c41ea46c03d81390b1b8d9e66895ba607c9d3,MIDPIWI_9a37def19f3dcaab,SHORT
WP_008691735.1,9d3a2bc1bbdd0097f57a5886a0c87b0d8ec87916525516d726a93b7d28607bd1,MIDPIWI_3d6ddeca66ddb414,LONG_B
WP_008706031.1,47eafa0c735f6540b2c09817d67234fd7da6993cc6c5543c283a404d8beb9a53,MIDPIWI_eae3e1afc713374a,SHORT
WP_008781126.1,a59ccb5bad285c5ed072f08821f713609d12a2ec3f97733e9715c878ea585d7d,MIDPIWI_ecb0098d1446c517,SHORT
WP_008838212.1,f5b196d4896b322a91a49ed98e14a226ecbf0c6c39070c2f63c5d04005b8fef5,MIDPIWI_dae8a3af5983de06,LONG_A
WP_008877327.1,30c0acfb5878d6c4fd14a0d3917ec797aa16fcf48ae9ee6363de77d28ccc8968,MIDPIWI_98dca90a571e6d2f,SHORT
WP_008983419.1,2dcf8a87aea9511fcfdb1e08e4944529e0c1a254bd790d2de4b1708c26921c8c,MIDPIWI_fb96830602857bfe,SHORT
WP_009126228.1,a2747bd3e334b64220f361745adf2ace53f2bf8e5a5683b0af3d3333ded35d1b,MIDPIWI_2f7f9a8e822f7b98,SHORT
WP_009128903.1,a4e38e7f65715d0f093a583bd788f4f5de197746b2bd5398b0ffdba3f8056cb4,MIDPIWI_5054d7c38dd2b869,LONG_B
WP_009184284.1,44630586b51286e39e425e9735e92cfc63d041721f006ae628e7606051e137eb,MIDPIWI_50e2d47ae8e66012,LONG_B
WP_009361466.1,607bf909076a7f9bb8287ebb78779fe1d6d35d4f486951151dd36d9cff4c003c,MIDPIWI_22cb207c44e5311b,LONG_B
WP_009456812.1,813802b208ed49cab7314719d49f9edcc612f34bf7150876a307997bbc0aa23e,MIDPIWI_d58bf30f1aa2de32,LONG_A
WP_009486613.1,f104b15c927d0c746523a543a14ce8485de13baf11d6f0ae886041ffbf176cdb,MIDPIWI_7bdbad165ec29492,LONG_A
WP_009507643.1,e5804aab88583a32dc6a4ba14f91e538d9c13b551d550b367998365dc0d5d18f,MIDPIWI_8957bd1e2b14e084,SHORT
WP_009518867.1,fa42ed182b9fae50aa62037788dbfaf2e306cae0da9a9b1799d7cf9e9a559c9d,MIDPIWI_5190f7c2ab15a406,LONG_B
WP_009610106.1,9c421fea095821bde9c1d3bc711c8a970459f079774b17ac0abe334b330abcb0,MIDPIWI_3bc699c26fdd0502,LONG_B
WP_009787621.1,bed83b709833339b2e256acdf7d0df3746f6fbfd99b6ccc9ba1359edf66f304b,MIDPIWI_07db87b6888a5010,LONG_A
WP_009826338.1,0c860fabac098752245232f799be0a8c9b49053175e1d6072a138f7c2b8e209f,MIDPIWI_523aa06074ab9624,SHORT
WP_009860218.1,84a84af4616a6354b9c14af36b6548fb5e0507f932f3e0beabc88650999763cf,MIDPIWI_beddab0f2d39d935,SHORT
WP_010044791.1,8ad8b3f21aedbd3d256c0a4faabfad5140cc910751f8942d3c2930704c37e1d3,MIDPIWI_17d7a8f28e69699e,LONG_B
WP_010123963.1,db1dd7ca19fff9af03bf3d0933118f1a58ee777883c5b53cce666c409b4b74a2,MIDPIWI_24bb39a29ed4f6f7,SHORT
WP_010165149.1,fce172e5bfa43c245c751d7b1053125f5ea32fec368de337d2ed99305ea0a8ef,MIDPIWI_d36870e9c930eae5,SHORT
WP_010289662.1,85165368bab75554e5f376ad2425c3cd0b6ae2ca4d691aa644f5bff3ecf0f7a8,MIDPIWI_4c643a227950bbce,LONG_A
WP_010424306.1,05daf25c3d66115ea48c91271ceca9fd92ea03c9f25984c040d76782c4d4e05f,MIDPIWI_d290df3186beb3b3,SHORT
WP_010682499.1,b321d95997648febbefb5ae0e909b4f0b576609302fb73e184ed3b07e77f9391,MIDPIWI_fc9b16fd574561d7,LONG_B
WP_010683363.1,d426c4032c9d9c3e13dd1f9b3ed7fdd1fb835125afeb8a94be5a0ef3545e2fb7,MIDPIWI_0ad414b1213eaf42,SHORT
WP_010870838.1,c4a1656d138343d08dd884a669ebc76973dcbaf65b0b88b8d0374fafe76eeea7,MIDPIWI_6bdd95e059c8a853,LONG_A
WP_010875054.1,0dbaee278142fda64c05195b26fe4bde59a3c25d1609391b2aacb2549004e0e1,MIDPIWI_0669a0bab5d4842a,SHORT
WP_010878815.1,cdefa2d1666b297fcaa9118bbdda4980a06d59d666308bc70759422839a5e19a,MIDPIWI_edfe6b2fe7436a8b,UNRESOLVED
WP_010880937.1,8d9f918893d9e2497c821d263c1659dc0e4b827dab1330a4cae0378b96281d9a,MIDPIWI_edb60b3761d016da,LONG_A
WP_010942012.1,d8d1dac9424a9d1f2d236623b126627687b8ac8c6a2272ecb72a8a4e72ec6993,MIDPIWI_185a3356700a01cb,SHORT
WP_011011654.1,2a7cd0acf56576c9fff1df96e03d8218c89c3f47b6f5be3850c38eeef49abfb2,MIDPIWI_8815a1c1cc6adc11,LONG_A
WP_011021016.1,1479dea2ac117f78fca5cceb0f265a67905e1b421d223d03ab0306c8bb358f72,MIDPIWI_c2379d5d2d1db938,SHORT
WP_011031225.1,84e31a9f6abdcceedf7ad95f340cc2f90a8b1fbeb401ca36c0d698de4c5a9a7a,MIDPIWI_1a059de56e0c71e1,LONG_B
WP_011056792.1,70a3c47a5f0f31f2b9a205cba9f85c2aa26a76284b3300e766a10c49d834649f,MIDPIWI_c8324321eb0b19ae,LONG_A
WP_011238781.1,c742a397b8da205de323120b2df86c24dcedaf76ec6302932106bc07976b19b4,MIDPIWI_87b53b5863d598b6,LONG_A
WP_011244830.1,1e7dc18195664849c11be2c72b4b09c5b573c1dea50fb81ae69a64dad77e9679,MIDPIWI_82d9a93b3b49fcb0,LONG_A
WP_011308723.1,cf32b25fa52c6171343338aeb8eb2a9e2290be5bd240b49794ff7473baddfc08,MIDPIWI_9a45146c405a48cd,LONG_A
WP_011378069.1,35cfc3b11b1db92fc4c0d1da2f7789d0c1f848665d8e77e4f86adcb0954ff20a,MIDPIWI_82d9a93b3b49fcb0,LONG_A
WP_011434286.1,163842233ea5c021deb49c98b1d37beb19f942b9fb3bd21d1a939300797af0e2,MIDPIWI_e024b3645a1d9ff9,LONG_A
WP_011488074.1,9d696974c4f359f60d6719cccda838d217ce51e7360a415d264e6e26fe49a6bc,MIDPIWI_bebb20684ac66b00,SHORT
WP_011504020.1,d05826a4d4b4b363cb201e68a365e44ee12e8e1db2a088dc3b178142e07b38ee,MIDPIWI_eb13bfd8eb9eb6c8,SHORT
WP_011516870.1,8e9138145cfbc39ed35567ab0f4f34556562f7c302f1d0131fe120f6773dc44b,MIDPIWI_065eda7d97120487,SHORT
WP_011718590.1,d58e643704bee8eec9b36212516ecea50a682c4ae08ed7e1afd46a6b16749a34,MIDPIWI_de78cc94b1f0b12a,SHORT
WP_011767947.1,646c44c32e1f5df9db7d099e385d42fca5cf6a387f81330753984ea51549bdb5,MIDPIWI_48c867ab9a54fa37,SHORT
WP_011831498.1,e946ba0fdfd2f460a2aef94617a9d323f6eccb76dbd2ce412fea63fbed8691d4,MIDPIWI_d5b32b0e03868bd9,SHORT
WP_011910606.1,c37a4b11d81bb2a0e0d14bdf8b5a585fb7936104f7fcae8d02ccc24108fd28a8,MIDPIWI_2d90821c614b1e3d,LONG_B
WP_011914275.1,fadf0e330b57e88f3b5016f531840a820a2e4e0ce547792be7ed39d9ce92c182,MIDPIWI_4ebd7931225af5d2,SHORT
WP_011923976.1,4f3b41652491860c5335b5f130e8e165870336e52756ee55e8f2c6af2e1db9c1,MIDPIWI_399d13ca96076894,SHORT
WP_011940821.1,eb40d274d0ec23370d5aaa32013be3932b6da0d854f2cf6b1464a0be6aadeb17,MIDPIWI_d0dabc62150ad038,SHORT
WP_011951052.1,5e05fe53693e47ef1cc217326871eb8d892df7d6709e792bebcb787aa971cc0b,MIDPIWI_8f2faa7ea80870fd,SHORT
WP_011971022.1,d94fd01b3b38de4dccf453e07adb2906e84d8de43f071484e97549a6825e6014,MIDPIWI_0669a0bab5d4842a,SHORT
WP_011996092.1,2c1f21e9d3badf22dab4d0a7b60f505f4c49fc3b7ea6822ad2103eeaa081e537,MIDPIWI_08a71e1aa32199f7,SHORT
WP_012222259.1,d4b91e08f29462e7f72903bc59c713fd2288e2d89a5435070f9b0f913c549140,MIDPIWI_6444dd7421260147,SHORT
WP_012473796.1,e2ac3b3f8794f785db9cb3faad009981bed325f08124c7c4cda88e09dafbb03a,MIDPIWI_73fa1955a33bf315,SHORT
WP_012486311.1,8cfe546b4ff70f757d0d4765f7039ee16cabdd323aafaca218bc087ced787988,MIDPIWI_5e3486b4236082ee,SHORT
WP_012572468.1,92a7a3fc910cb36089ad355db3396b5d8dcc669f11b9a759da9d022dc407451e,MIDPIWI_5774706f945c1b1a,LONG_A
WP_012575214.1,41b956a51a8c70b2baa68b1a0f6d05b99fe67249e13aa4e3fc4e4f2245591ac1,MIDPIWI_16f8a17656cc3cea,LONG_A
WP_012597165.1,7349f690d0cfb2be188adeff20bed28bd6b2a0e420f5e243f25b0112efdd1f23,MIDPIWI_ee07161e2d624c6d,LONG_B
WP_012659190.1,58952634237d82c7dcb6e69d00417ee0aff6b9e7ab77213ffe9c9c94b520bb20,MIDPIWI_7bdbad165ec29492,LONG_A
WP_012660077.1,4794e0589107449f546b758069eb8eb76df025a1ddb162535801d2e116beae44,MIDPIWI_60ea53da95a982b9,SHORT
WP_012735993.1,54c84693a801645f80c46447a6180c9994dcf28d963f303f735625e659daf811,MIDPIWI_118cb97cc0a38ed3,UNRESOLVED
WP_012912354.1,e492e8b98665f878a480be1e645904094a2d52cbf9b343223dd07bd98565ea8f,MIDPIWI_2a15f6fcafa7a2a4,LONG_B
WP_012952863.1,4438e69996fbd1f94188c8d935cdb794ac74d6c09bfdf38685d5ec6fa66b0cdf,MIDPIWI_0e39a1e63fc0160e,LONG_A
WP_012966655.1,3586d3a6119c08c5cb4fe80af9935b636552e8e970edab93215d6a3d32b04b0a,MIDPIWI_20ea701a8d9c1050,LONG_A
WP_012979970.1,4a3e6ff3b8c9a1d811502bac51675faa3073d1adc9c15bec6d3942839c043e89,MIDPIWI_af845294d5fc1929,LONG_A
WP_013078837.1,1f8038d84b3cad7f90ec629fe903471bc151b32866c3b2c2a23248f4373a421d,MIDPIWI_4af3ea7bdc505b55,SHORT
WP_013109335.1,9d3d73b603428b1c6727b084ad076579a8b332a7a6c13639d7364e28f60e2022,MIDPIWI_cbb1e53a25bb23e0,SHORT
WP_013299754.1,36b788957c4e004202d3179f5a37bec6d1f8aecf7e89c9f5a1e11e7bb4249c27,MIDPIWI_ea366e4ec983eab4,SHORT
WP_013300197.1,ddc48d4a1849d79a0f90e4881d9c2e4569a063d44842d0bd79885842f19413fd,MIDPIWI_75ca729aa543e200,LONG_B
WP_013300248.1,1548929d0d150da081e7c0af9aca19c073acb91a0bf5e00f7d7a0dbe62482970,MIDPIWI_6e2471e80d33de28,SHORT
WP_013324485.1,721eb2d17717660c032b6b705ea330660105fc85d22f13edfef016fd204cf53f,MIDPIWI_8a356baafb176bca,LONG_A
WP_013451524.1,a9c45e8d52ced0add8c3140472c48bed54ffb934c62eef7e53f33d67faddc1bc,MIDPIWI_26196ebc9abe5fb4,LONG_B
WP_013500616.1,e979cb2df6ad7cd96658eb97df6af273366b79119e5eb61de39fda1417112fc9,MIDPIWI_2aacf649f35a90ed,LONG_B
WP_013561109.1,0a7810c0369d1b796fe15865b43dd9b40fb6365586e7543df7eeacdf4ddd92b1,MIDPIWI_4dce9cdd05535628,LONG_A
WP_013581438.1,83649ff3a0523229b6d97109d409eec32c4cbc445c39be11475f62d3933cff78,MIDPIWI_440ade1f18c023a9,SHORT
WP_013596008.1,29db05300c0708e86aad2fedebd9001fc2bc3eb7ca955dbd86ae80349ff1e73b,MIDPIWI_95f9c25e53cd83bc,SHORT
WP_013604390.1,cd028b32490f91064fd5265197ea7510b26cee888b3cdd0319a1a32927e7f605,MIDPIWI_d0cfdd65c55aaf29,UNRESOLVED
WP_013632721.1,ff4a33274855fec0d0a648a3884d0a9eb333fe0f7d73ebab2be770d84f8ff678,MIDPIWI_cd612d85c40aa9d6,SHORT
WP_013637055.1,3ed063c0aa594cf08a26556fc9ef0ab6b9a9ddc4f232c041b75d5bdbe79e5b5d,MIDPIWI_6ef183bd794f8c06,SHORT
WP_013654324.1,a9b1bb01377c2b6b4447ba1cc85179c5805798c8e21127f21d513ac9a61d2880,MIDPIWI_b23f33131deb3d0a,SHORT
WP_013685229.1,4b3664b57825afef572ddb8fdfa93d5fc7f3be517c00987696375006a9e791ff,MIDPIWI_9760d53656a86ba1,SHORT
WP_013833357.1,53df6e0bce2457e99c8265b01f1c741ead1fea01b8d48314ec05c57a466b9e5b,MIDPIWI_d58e13f8c367c5c7,SHORT
WP_013847450.1,470c36916966a9fda2d83b64953ae883102fd034a375a161d404b56190287027,MIDPIWI_dcf0cbe748bc80e0,LONG_B
WP_013878483.1,4d39a22377a223a9c8897e4e6dfb445f53bd295e450e9964482b2af4b3e5e5a9,MIDPIWI_04968432b8f4c165,LONG_A
WP_013921749.1,3a0e9684466de41752064fccda5677f37075e52aaf20637d83ecb383d0d3da27,MIDPIWI_e09cca6d34993f39,LONG_A
WP_014020247.1,1ecfb6f796262a25ec8022b6661a1f0f6a2b54e23ef2e9bc6fe307a583529be9,MIDPIWI_c0cf62e21f15e390,SHORT
WP_014022287.1,4a841267586f4531c9f2fb3fd0cd3aefcbb84294eef549d8493dc50430b2e828,MIDPIWI_3df5aab46a0d0eca,LONG_B
WP_014132756.1,702161b7e8176679792f88168f665b4d1830e647f63dc9674e37812429c110a2,MIDPIWI_9bbaccbc154c2cc8,SHORT
WP_014195559.1,8cae38079d9d18bbf234f92ea67097e12ba81a93f7d49c79b38fffb54583f965,MIDPIWI_29d5731e6721bdfd,LONG_A
WP_014200912.1,cb71de0ed14d11c3a6fa3ac1eb9cef931ca3daea6bb7bda73a9803bf44fab115,MIDPIWI_eee19843b84be15b,SHORT
WP_014295921.1,be65bd169065e35f15dcef361c510bd4c9c0f477929406c43c3765648f997ba7,MIDPIWI_b8d283cb00a93b8f,LONG_A
WP_014387264.1,53388e45669fd57ea8738abdb583e1a7199aea640e28e11d662c7dfa9649f7ba,MIDPIWI_e7c99ecfa5d9f6aa,SHORT
WP_014511275.1,994e815a2b2d8316113788f18d2f15d27a2ca84c6863fed5b65b1457cab1eef0,MIDPIWI_8f62696f35d47c47,LONG_A
WP_014514637.1,ab15f09c3bbb0efb1903dfc3e8eb80264a69951c9fe7a7360f6ee892e21d220f,MIDPIWI_422a84dc653febc3,LONG_A
WP_014678514.1,ed59e5cd466cbb06b9cacd6b9cff0f99c5c1498ca3b961c7d5bbf838f11ad0cc,MIDPIWI_3fe7e0c0298f1bd4,LONG_B
WP_014746186.1,acde5e9f13a45908d398a4cc551ef456ab9e6c6b6c2bcdc15ad40c9f9e3d936c,MIDPIWI_9bbaccbc154c2cc8,SHORT
WP_014773309.1,dc67048b72996a4b1fc8a135e5ba3b1958f95cd4b02e7cbfcce5ecaa83e9144f,MIDPIWI_19d3ba338d6f908f,LONG_B
WP_014956171.1,c19e32c9902276d58c26e4fb8060e915f4253006c0c9c53210e495df9f6fba03,MIDPIWI_11b445d833cc64ad,SHORT
WP_015056743.1,8afeb26ce4d4605f84fb813013c1e9e29c2ed30c5a945e6a3ef50c2741b52052,MIDPIWI_0bebb83812123aa2,SHORT
WP_015118671.1,a4b79bf76c0ea99b552a4c9ea216d92e4e8cd216403ac88519ad6076de455c15,MIDPIWI_292bcb0db4e41a90,LONG_A
WP_015150617.1,171e618ea49e3e7eae4d765613b95168c6beab69fb9c13f62a60a35db82ba734,MIDPIWI_746ab0673b366349,LONG_A
WP_015157107.1,879c0b11dd4b192000f1ef3edc90fa74a028a578bd389e6a80c08d700a25b6e0,MIDPIWI_147eaecce301e5d0,LONG_A
WP_015159126.1,d388f410c4d5f4571687453285eb6fb3648006d438e183dd25878894e8f8b656,MIDPIWI_5704125039cbcdf0,LONG_A
WP_015195532.1,102bedfad44f57ca7b80e2be9bd3e91069c45fe042cc0ba3c6db014a502772b1,MIDPIWI_5d2c6e1047736d94,LONG_A
WP_015201773.1,ce99e650543da8a4e5a6fb620398747bf44ab8f66c1bbc3e0fc82f9ad7a3b60e,MIDPIWI_f90e5ae0257cdf44,LONG_A
WP_015213401.1,1853d6ec74f04ac9a704f58e7f25787228d2cf62be26b3626284dbbe3539de15,MIDPIWI_708060c79824f874,LONG_A
WP_015329024.1,41aa76af7beb298514f62cf267e670c684c6c44fda469f659e2b77210c2571e7,MIDPIWI_a1b0cd7e2372432b,LONG_A
WP_015449155.1,7d3e10665fe3956606adee1b4721c2b189ac26c90590d15f6c5cd7261ee819a8,MIDPIWI_5ae83ae5d414c7ba,SHORT
WP_015596990.1,fe32a9462adf054051c91c325cbe6c52971e181fb61e90a975471923df7f990f,MIDPIWI_564ad83a99903a4b,SHORT
WP_015664540.1,c00f0bf073a13c1f9276936d859089c142de76c9273c286972fa654a49d689f0,MIDPIWI_399d13ca96076894,SHORT
WP_015717132.1,a651e88e9082fda07d6a2e14baf4834d93f04a66dc86807b9bf4d64f89969a1a,MIDPIWI_3eec40cd3a554857,LONG_A
WP_015784319.1,6ac7290aea46aec2ffa3b41648d6fb013fa6721c9f0047eac6d7e41bc75e232f,MIDPIWI_b9fa23f93ce97bed,LONG_B
WP_015791216.1,9a28df5a52600207a26f60ba3eb6f7efc8279461867d7b51f122b8e2f4001c70,MIDPIWI_0c58a2dacb20122a,LONG_A
WP_015807620.1,4d0475548b1ee487b7f64091da390959bd346017f58dc928167ecff49df788c2,MIDPIWI_2e1df91f4b22cfd4,LONG_B
WP_015895835.1,0f6eb6d18f01993b1a9d3faa8a8239772f04a81b6703156327dbb51b953a4888,MIDPIWI_097c385b74b1513d,SHORT
WP_015898277.1,7322f6b5e9cb9e41fff3882b6273331187d8e49486656e724bdde72f7ef96d02,MIDPIWI_6603f4e070af26fa,LONG_B
WP_015912957.1,508e37f5166c992437131b807c4c18d00c6f2a1c69f055d1dc6d1deb04771480,MIDPIWI_b947e9a08d857960,LONG_B
WP_016205751.1,b731f039421806511a2669591232ca9637b65a43d0d4a4395b5a297c45af428e,MIDPIWI_5b099aafe5d61fb8,LONG_A
WP_016263567.1,fd8a344822058abcaecda62770a00217da3659f28ff1ad385bbd4c8be1f8d8e4,MIDPIWI_8fa8115bc324468c,SHORT
WP_016268111.1,c9ba7047364f25a231474120877e0f89a24d70cbea464139bbb27bd5a9c4daa2,MIDPIWI_ecb0098d1446c517,SHORT
