seq_a	seq_b	identity	coverage	comparable	identical
WP_013596008.1	WP_063460619.1	0.962617	1.000000	428	412
WP_013637055.1	WP_095447451.1	0.907489	1.000000	454	412
WP_013654324.1	WP_085772138.1	0.914286	1.000000	420	384
WP_013833357.1	WP_089215968.1	0.951111	1.000000	450	428
WP_014022287.1	WP_084097100.1	0.989390	1.000000	377	373
WP_014132756.1	WP_014746186.1	0.916129	1.000000	465	426
WP_014195559.1	WP_020279644.1	0.997183	1.000000	355	354
WP_014195559.1	WP_023817613.1	0.963380	1.000000	355	342
WP_014195559.1	WP_042383163.1	0.957746	1.000000	355	340
WP_014195559.1	WP_049625402.1	0.985915	1.000000	355	350
WP_014195559.1	WP_062755455.1	0.974648	1.000000	355	346
WP_014195559.1	WP_064221217.1	0.977465	1.000000	355	347
WP_014195559.1	WP_090949002.1	0.932394	1.000000	355	331
WP_014195559.1	WP_094238542.1	0.985915	1.000000	355	350
WP_014295921.1	WP_075780265.1	1.000000	1.000000	343	343
WP_014511275.1	WP_038030409.1	0.996960	1.000000	329	328
WP_014511275.1	WP_039457454.1	0.996960	1.000000	329	328
WP_014511275.1	YP_145307.1	0.984802	1.000000	329	324
WP_014956171.1	WP_031452536.1	0.969484	1.000000	426	413
WP_015664540.1	WP_028343463.1	0.905213	1.000000	422	382
WP_015912957.1	WP_074290364.1	0.974811	1.000000	397	387
WP_015912957.1	WP_096861749.1	0.977330	1.000000	397	388
WP_016263567.1	WP_016393046.1	0.972093	1.000000	430	418
WP_016263567.1	WP_021700080.1	0.997674	1.000000	430	429
WP_016263567.1	WP_042571951.1	0.974419	1.000000	430	419
WP_016263567.1	WP_096078421.1	0.997674	1.000000	430	429
WP_016268111.1	WP_032541218.1	0.936768	0.997664	427	400
WP_016268111.1	WP_033572516.1	0.934426	0.997664	427	399
WP_016268111.1	WP_044272246.1	0.948598	1.000000	428	406
WP_016393046.1	WP_021700080.1	0.972093	1.000000	430	418
WP_016393046.1	WP_042571951.1	0.979070	1.000000	430	421
WP_016393046.1	WP_096078421.1	0.969767	1.000000	430	417
WP_016733898.1	WP_082934345.1	0.955850	1.000000	453	433
WP_016804074.1	WP_025465492.1	0.950820	1.000000	366	348
WP_017309810.1	WP_044451674.1	0.993671	1.000000	316	314
WP_017309810.1	WP_073555659.1	0.933884	1.000000	363	339
WP_017309810.1	WP_102182189.1	0.931129	1.000000	363	338
WP_017454948.1	WP_075256236.1	0.955399	1.000000	426	407
WP_018005263.1	WP_037057030.1	0.945330	1.000000	439	415
WP_018005263.1	WP_061958300.1	0.929385	1.000000	439	408
WP_018045489.1	WP_056186123.1	0.931818	1.000000	440	410
WP_018045489.1	WP_060847087.1	0.900000	1.000000	440	396
WP_019960614.1	WP_071240728.1	0.914153	1.000000	431	394
WP_020208903.1	WP_036211522.1	0.933790	1.000000	438	409
WP_020208903.1	WP_092022087.1	0.906393	1.000000	438	397
WP_020279644.1	WP_023817613.1	0.966197	1.000000	355	343
WP_020279644.1	WP_042383163.1	0.960563	1.000000	355	341
WP_020279644.1	WP_049625402.1	0.988732	1.000000	355	351
WP_020279644.1	WP_062755455.1	0.977465	1.000000	355	347
WP_020279644.1	WP_064221217.1	0.980282	1.000000	355	348
WP_020279644.1	WP_090949002.1	0.935211	1.000000	355	332
WP_020279644.1	WP_094238542.1	0.988732	1.000000	355	351
WP_021700080.1	WP_042571951.1	0.974419	1.000000	430	419
WP_021700080.1	WP_096078421.1	0.995349	1.000000	430	428
WP_022673743.1	WP_072559536.1	0.920455	1.000000	440	405
WP_023692462.1	WP_037187053.1	0.920561	1.000000	428	394
WP_023692462.1	WP_038943876.1	0.936916	1.000000	428	401
WP_023692462.1	WP_077292070.1	0.908879	1.000000	428	389
WP_023692462.1	WP_086023002.1	0.927570	1.000000	428	397
WP_023692462.1	WP_092820763.1	0.913551	1.000000	428	391
WP_023749875.1	WP_023828907.1	0.997636	1.000000	423	422
WP_023817613.1	WP_042383163.1	0.932394	1.000000	355	331
WP_023817613.1	WP_049625402.1	0.966197	1.000000	355	343
WP_023817613.1	WP_062755455.1	0.949296	1.000000	355	337
WP_023817613.1	WP_064221217.1	0.980282	1.000000	355	348
WP_023817613.1	WP_090949002.1	0.915493	1.000000	355	325
WP_023817613.1	WP_094238542.1	0.971831	1.000000	355	345
WP_023924954.1	WP_036855842.1	0.966960	1.000000	454	439
WP_023924954.1	WP_070666724.1	0.973568	1.000000	454	442
WP_024021728.1	WP_068094634.1	0.950935	1.000000	428	407
WP_024021728.1	WP_075628771.1	0.932084	0.997664	427	398
WP_024021728.1	WP_093081848.1	0.915888	1.000000	428	392
WP_024146569.1	WP_033851601.1	0.979381	1.000000	388	380
WP_024146569.1	WP_035619941.1	0.902062	1.000000	388	350
WP_024146569.1	WP_046101283.1	0.956186	1.000000	388	371
WP_024146569.1	WP_047361658.1	0.958763	1.000000	388	372
WP_024146569.1	WP_050117363.1	0.956186	1.000000	388	371
WP_024146569.1	WP_060422788.1	0.958763	1.000000	388	372
WP_024146569.1	WP_060527926.1	0.948454	1.000000	388	368
WP_024146569.1	WP_063415881.1	0.979381	1.000000	388	380
WP_024146569.1	WP_088912163.1	0.974227	1.000000	388	378
WP_024889333.1	WP_031431988.1	0.946835	1.000000	395	374
WP_024889333.1	WP_031656931.1	0.992405	1.000000	395	392
WP_024889333.1	WP_035619941.1	0.962025	1.000000	395	380
WP_024889333.1	WP_045765666.1	0.939241	1.000000	395	371
WP_024889333.1	WP_086904404.1	0.951899	1.000000	395	376
WP_024889333.1	WP_088912163.1	0.902062	1.000000	388	350
WP_025091661.1	WP_062785620.1	0.943925	1.000000	428	404
WP_025091661.1	WP_066798582.1	0.946262	1.000000	428	405
WP_025091661.1	WP_067182979.1	0.957944	1.000000	428	410
WP_025091661.1	WP_083592923.1	0.922717	1.000000	427	394
WP_025493197.1	WP_081699304.1	1.000000	1.000000	227	227
WP_025665356.1	WP_047547418.1	0.981352	1.000000	429	421
WP_025665356.1	WP_074724477.1	0.948718	1.000000	429	407
WP_025665356.1	WP_101018292.1	0.979021	1.000000	429	420
WP_026011736.1	WP_035063661.1	0.971591	1.000000	352	342
WP_026011736.1	WP_035065747.1	0.994318	1.000000	352	350
WP_026011736.1	WP_042896060.1	0.946023	1.000000	352	333
WP_026011736.1	WP_055441081.1	0.985795	1.000000	352	347
WP_026011736.1	WP_085789107.1	0.960227	1.000000	352	338
WP_026108493.1	WP_055808193.1	0.982005	1.000000	389	382
WP_026782277.1	WP_042061209.1	0.995465	1.000000	441	439
WP_026824436.1	WP_034806158.1	0.902579	1.000000	349	315
WP_026824436.1	WP_049759955.1	0.979943	1.000000	349	342
WP_026824436.1	WP_083600058.1	0.957020	1.000000	349	334
WP_026927916.1	WP_077684788.1	1.000000	1.000000	399	399
WP_027160976.1	WP_047564308.1	0.961620	1.000000	469	451
WP_027160976.1	WP_067325603.1	0.976546	1.000000	469	458
WP_027308646.1	WP_084106721.1	0.978202	1.000000	367	359
WP_027412346.1	WP_072766083.1	0.955399	1.000000	426	407
WP_027443719.1	WP_054725864.1	0.978571	1.000000	420	411
WP_027443719.1	WP_066514271.1	0.985714	1.000000	420	414
WP_027443719.1	WP_072598063.1	0.980952	1.000000	420	412
WP_027443719.1	WP_088712621.1	0.980952	1.000000	420	412
WP_027879788.1	WP_038507007.1	0.922481	1.000000	387	357
WP_027879788.1	WP_054724085.1	0.963824	1.000000	387	373
WP_027879788.1	WP_054851363.1	0.925065	1.000000	387	358
WP_027879788.1	WP_069674097.1	0.943005	0.997416	386	364
WP_027879788.1	WP_084176749.1	0.966408	1.000000	387	374
WP_027879788.1	WP_088696231.1	0.925065	1.000000	387	358
WP_027879788.1	WP_092208436.1	0.966408	1.000000	387	374
WP_027879788.1	WP_092447190.1	0.930233	1.000000	387	360
WP_027879788.1	WP_092468852.1	0.963824	1.000000	387	373
WP_027879788.1	WP_092580646.1	0.958549	0.997416	386	370
WP_028223139.1	WP_052303232.1	0.976271	1.000000	295	288
WP_028359221.1	WP_030102812.1	0.981352	1.000000	429	421
WP_028359221.1	WP_059598007.1	0.997669	1.000000	429	428
WP_028359221.1	WP_059875185.1	0.986014	1.000000	429	423
WP_028359221.1	WP_060074291.1	0.986014	1.000000	429	423
WP_028359221.1	WP_071068901.1	0.990676	1.000000	429	425
WP_028359221.1	WP_080466871.1	0.974790	0.991667	238	232
WP_028359221.1	WP_090548054.1	0.976690	1.000000	429	419
WP_030102812.1	WP_059598007.1	0.979021	1.000000	429	420
WP_030102812.1	WP_059875185.1	0.972028	1.000000	429	417
WP_030102812.1	WP_060074291.1	0.967366	1.000000	429	415
WP_030102812.1	WP_071068901.1	0.976690	1.000000	429	419
WP_030102812.1	WP_080466871.1	0.949580	0.991667	238	226
WP_030102812.1	WP_090548054.1	0.962704	1.000000	429	413
WP_030421331.1	WP_037716572.1	0.907859	1.000000	369	335
WP_030421331.1	WP_062649003.1	0.969121	1.000000	421	408
WP_030421331.1	WP_093736218.1	0.925743	1.000000	404	374
WP_031431988.1	WP_031656931.1	0.944304	1.000000	395	373
WP_031431988.1	WP_035619941.1	0.964557	1.000000	395	381
WP_031431988.1	WP_045765666.1	0.946835	1.000000	395	374
WP_031431988.1	WP_086904404.1	0.944304	1.000000	395	373
WP_031656931.1	WP_035619941.1	0.954430	1.000000	395	377
WP_031656931.1	WP_045765666.1	0.931646	1.000000	395	368
WP_031656931.1	WP_086904404.1	0.944304	1.000000	395	373
WP_032135203.1	WP_091535645.1	0.975824	1.000000	455	444
WP_032541218.1	WP_033572516.1	0.997664	1.000000	428	427
WP_032541218.1	WP_044272246.1	0.934426	0.997664	427	399
WP_033463414.1	WP_080700177.1	0.978622	1.000000	421	412
WP_033572516.1	WP_044272246.1	0.932084	0.997664	427	398
WP_033851601.1	WP_046101283.1	0.961340	1.000000	388	373
WP_033851601.1	WP_047361658.1	0.963918	1.000000	388	374
WP_033851601.1	WP_050117363.1	0.961340	1.000000	388	373
WP_033851601.1	WP_060422788.1	0.963918	1.000000	388	374
WP_033851601.1	WP_060527926.1	0.953608	1.000000	388	370
WP_033851601.1	WP_063415881.1	0.979381	1.000000	388	380
WP_033851601.1	WP_088912163.1	0.979381	1.000000	388	380
WP_034679766.1	WP_034870033.1	0.973626	1.000000	455	443
WP_034806158.1	WP_083600058.1	0.905714	1.000000	350	317
WP_035063661.1	WP_035065747.1	0.977273	1.000000	352	344
WP_035063661.1	WP_042896060.1	0.974432	1.000000	352	343
WP_035063661.1	WP_055441081.1	0.974432	1.000000	352	343
WP_035063661.1	WP_085789107.1	0.988636	1.000000	352	348
WP_035065747.1	WP_042896060.1	0.951705	1.000000	352	335
WP_035065747.1	WP_055441081.1	0.991477	1.000000	352	349
WP_035065747.1	WP_085789107.1	0.965909	1.000000	352	340
WP_035133775.1	WP_072319133.1	0.985149	1.000000	404	398
WP_035619941.1	WP_045124563.1	0.901266	1.000000	395	356
WP_035619941.1	WP_045765666.1	0.956962	1.000000	395	378
WP_035619941.1	WP_086904404.1	0.954430	1.000000	395	377
WP_035619941.1	WP_088912163.1	0.907216	1.000000	388	352
WP_035619941.1	WP_092569305.1	0.901266	1.000000	395	356
WP_036211522.1	WP_092022087.1	0.905963	0.995434	436	395
WP_036243660.1	WP_093026608.1	0.992063	1.000000	378	375
WP_036243660.1	WP_099215415.1	0.955026	1.000000	378	361
WP_036250713.1	WP_036294986.1	0.997151	1.000000	351	350
WP_036284033.1	WP_099832012.1	0.963303	1.000000	436	420
WP_036855842.1	WP_070666724.1	0.993392	1.000000	454	451
WP_036856560.1	WP_045167303.1	0.983412	1.000000	422	415
WP_036883142.1	WP_088492884.1	0.992754	1.000000	414	411
WP_036958753.1	WP_065578026.1	0.921114	1.000000	431	397
WP_037057030.1	WP_061958300.1	0.922551	1.000000	439	405
WP_037187053.1	WP_038943876.1	0.913551	1.000000	428	391
WP_037187053.1	WP_086023002.1	0.934579	1.000000	428	400
WP_037474223.1	WP_037510712.1	0.940909	1.000000	440	414
WP_037474223.1	WP_039394112.1	0.981818	1.000000	440	432
WP_037474223.1	WP_058453976.1	0.918182	1.000000	440	404
WP_037510712.1	WP_039394112.1	0.929545	1.000000	440	409
WP_037510712.1	WP_058453976.1	0.915909	1.000000	440	403
WP_037716572.1	WP_062649003.1	0.910569	1.000000	369	336
WP_037994439.1	WP_049720106.1	0.997207	1.000000	358	357
WP_038030409.1	WP_039457454.1	1.000000	1.000000	329	329
WP_038030409.1	YP_145307.1	0.987842	1.000000	329	325
WP_038205792.1	WP_063460619.1	0.983645	1.000000	428	421
WP_038507007.1	WP_054724085.1	0.927649	1.000000	387	359
WP_038507007.1	WP_054851363.1	0.997416	1.000000	387	386
WP_038507007.1	WP_069674097.1	0.917098	0.997416	386	354
WP_038507007.1	WP_084176749.1	0.917313	1.000000	387	355
WP_038507007.1	WP_088696231.1	0.997416	1.000000	387	386
WP_038507007.1	WP_092208436.1	0.930233	1.000000	387	360
WP_038507007.1	WP_092468852.1	0.927649	1.000000	387	359
WP_038507007.1	WP_092580646.1	0.917098	0.997416	386	354
WP_038936587.1	WP_050399988.1	0.949519	1.000000	416	395
WP_038936587.1	WP_091963850.1	0.983173	1.000000	416	409
WP_038943876.1	WP_077292070.1	0.901869	1.000000	428	386
WP_038943876.1	WP_086023002.1	0.913551	1.000000	428	391
WP_038943876.1	WP_092820763.1	0.918224	1.000000	428	393
WP_039394112.1	WP_058453976.1	0.911364	1.000000	440	401
WP_039442424.1	WP_043087749.1	0.978923	1.000000	427	418
WP_039442424.1	WP_057498726.1	0.943794	1.000000	427	403
WP_039442424.1	WP_057502543.1	0.950820	1.000000	427	406
WP_039442424.1	WP_062171242.1	0.936768	1.000000	427	400
WP_039442424.1	WP_082340613.1	0.976581	1.000000	427	417
WP_039442424.1	WP_088100472.1	0.948478	1.000000	427	405
WP_039457454.1	YP_145307.1	0.987842	1.000000	329	325
WP_039925744.1	WP_044015994.1	0.992788	1.000000	416	413
WP_041438497.1	WP_099834802.1	0.997093	1.000000	344	343
WP_041946582.1	WP_097200709.1	0.971631	1.000000	423	411
WP_042211195.1	WP_074100515.1	0.934659	1.000000	352	329
WP_042211195.1	WP_076305724.1	0.928977	1.000000	352	327
WP_042383163.1	WP_049625402.1	0.954930	1.000000	355	339
WP_042383163.1	WP_062755455.1	0.966197	1.000000	355	343
WP_042383163.1	WP_064221217.1	0.946479	1.000000	355	336
WP_042383163.1	WP_090949002.1	0.938028	1.000000	355	333
WP_042383163.1	WP_094238542.1	0.949296	1.000000	355	337
WP_042571951.1	WP_096078421.1	0.972093	1.000000	430	418
WP_042896060.1	WP_055441081.1	0.948864	1.000000	352	334
WP_042896060.1	WP_085789107.1	0.963068	1.000000	352	339
WP_043087749.1	WP_057498726.1	0.939110	1.000000	427	401
WP_043087749.1	WP_057502543.1	0.946136	1.000000	427	404
WP_043087749.1	WP_062171242.1	0.929742	1.000000	427	397
WP_043087749.1	WP_082340613.1	0.978923	1.000000	427	418
WP_043087749.1	WP_088100472.1	0.943794	1.000000	427	403
WP_044451674.1	WP_073555659.1	0.920886	1.000000	316	291
WP_044451674.1	WP_102182189.1	0.917722	1.000000	316	290
WP_045124563.1	WP_058870690.1	0.918987	1.000000	395	363
WP_045124563.1	WP_087527547.1	0.918987	1.000000	395	363
WP_045126888.1	WP_064102502.1	0.905530	1.000000	434	393
WP_045126888.1	WP_099746951.1	0.995402	1.000000	435	433
WP_045765666.1	WP_086904404.1	0.931646	1.000000	395	368
WP_046101283.1	WP_047361658.1	0.997423	1.000000	388	387
WP_046101283.1	WP_050117363.1	0.994845	1.000000	388	386
WP_046101283.1	WP_060422788.1	0.997423	1.000000	388	387
WP_046101283.1	WP_060527926.1	0.987113	1.000000	388	383
WP_046101283.1	WP_063415881.1	0.961340	1.000000	388	373
WP_046101283.1	WP_088912163.1	0.976804	1.000000	388	379
WP_046237973.1	WP_049284969.1	0.981481	1.000000	432	424
WP_046237973.1	WP_053244068.1	0.983796	1.000000	432	425
WP_046237973.1	WP_088326165.1	0.983796	1.000000	432	425
WP_047265940.1	WP_072865986.1	0.970845	1.000000	343	333
WP_047361658.1	WP_050117363.1	0.997423	1.000000	388	387
WP_047361658.1	WP_060422788.1	1.000000	1.000000	388	388
WP_047361658.1	WP_060527926.1	0.989691	1.000000	388	384
WP_047361658.1	WP_063415881.1	0.961340	1.000000	388	373
WP_047361658.1	WP_088912163.1	0.979381	1.000000	388	380
WP_047547418.1	WP_074724477.1	0.962704	1.000000	429	413
WP_047547418.1	WP_101018292.1	0.993007	1.000000	429	426
WP_047564308.1	WP_067325603.1	0.957356	1.000000	469	449
WP_048925809.1	WP_055087491.1	0.975138	1.000000	362	353
WP_049284969.1	WP_053244068.1	0.993056	1.000000	432	429
WP_049284969.1	WP_088326165.1	0.986111	1.000000	432	426
WP_049625402.1	WP_062755455.1	0.971831	1.000000	355	345
WP_049625402.1	WP_064221217.1	0.980282	1.000000	355	348
WP_049625402.1	WP_090949002.1	0.929577	1.000000	355	330
WP_049625402.1	WP_094238542.1	0.988732	1.000000	355	351
WP_049724747.1	WP_062480250.1	0.931646	1.000000	395	368
WP_049724747.1	WP_092569305.1	0.951899	1.000000	395	376
WP_049759955.1	WP_083600058.1	0.948424	1.000000	349	331
WP_049772080.1	WP_082240375.1	0.997812	1.000000	457	456
WP_049858649.1	WP_079392071.1	0.904206	1.000000	428	387
WP_049858649.1	WP_079759401.1	0.904206	1.000000	428	387
WP_049858649.1	WP_088193538.1	0.901869	1.000000	428	386
WP_049917000.1	WP_049969002.1	0.982808	1.000000	349	343
WP_049934199.1	WP_094593095.1	0.912676	1.000000	355	324
WP_049938490.1	WP_049943687.1	0.993976	1.000000	332	330
WP_049982463.1	WP_097007364.1	0.951705	1.000000	352	335
WP_050117363.1	WP_060422788.1	0.997423	1.000000	388	387
WP_050117363.1	WP_060527926.1	0.992268	1.000000	388	385
WP_050117363.1	WP_063415881.1	0.958763	1.000000	388	372
WP_050117363.1	WP_088912163.1	0.976804	1.000000	388	379
WP_050399988.1	WP_091963850.1	0.951923	1.000000	416	396
WP_050617980.1	WP_058963777.1	0.985612	1.000000	417	411
WP_050617980.1	WP_087292483.1	0.983213	1.000000	417	410
WP_051144000.1	WP_091379925.1	0.947242	1.000000	417	395
WP_051227128.1	WP_059982501.1	0.983491	1.000000	424	417
